Mercury; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Venus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Earth; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Mars; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Jupiter; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Saturn; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Uranus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Neptune; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
16 Cygni Bb; Planet; ; 2.38; ; 799.5; 1.66; ; radial vel.; 1996; 68.99; 1.04; 5750; ; 
HD 74156 b; Planet; ; 1.8; ; 51.645; 0.292; ; radial vel.; 2003; 210.7; 1.24; 6068; ; 
HD 74156 c; Planet; ; 8.06; ; 2473; 3.85; ; radial vel.; 2003; 210.7; 1.24; 6068; ; 
HD 75898 b; Planet; ; 2.71; ; 422.9; 1.191; ; radial vel.; 2007; 255.16; 1.26; 5963; Veles; 
HD 76700 b; Planet; ; 0.21; ; 3.97097; 0.05; ; radial vel.; 2002; 198.93; 0.99; 5644; ; 
HD 80606 b; Planet; ; 4.38; 1.07; 111.4367; 0.4565; 405; radial vel.; 2001; 217.23; 1.15; 5561; ; 
HD 81040 b; Planet; ; 7.27; ; 1001.7; 1.94; ; radial vel.; 2005; 112.43; 1.05; 5755; ; 
HD 82943 b; Planet; ; 1.681; ; 441.47; 1.18306; ; radial vel.; 2003; 90.05; 1.2; 6016; ; 
HD 82943 c; Planet; ; 1.959; ; 220.078; 0.74345; ; radial vel.; 2003; 90.05; 1.2; 6016; ; 
HD 83443 b; Planet; ; 0.34; ; 2.9857; 0.04; ; radial vel.; 2002; 133.57; 0.79; 5442; Buru; 
HD 85390 b; Planet; ; 0.099; ; 799.52; 1.373; ; radial vel.; 2009; 109.46; 0.76; 5186; Madalitso; 
HD 86081 b; Planet; ; 1.48; ; 2.1378431; 0.0346; ; radial vel.; 2006; 340; 1.21; 5939; Santamasa; 
HD 86264 b; Planet; ; 7; ; 1475; 2.86; ; radial vel.; 2009; 221.6; 1.42; 6210; ; 
HD 87883 b; Planet; ; 1.54; ; 2754; 3.58; ; radial vel.; 2009; 59.69; 0.66; 4915; ; 
HD 88133 b; Planet; ; 1.02; ; 3.414884; 0.0479; ; radial vel.; 2004; 240.61; 1.26; 5392; ; 
HD 89307 b; Planet; ; 2.11; ; 2166; 3.27; ; radial vel.; 2009; 104.5; 1.27; 5955; ; 
HD 90156 b; Planet; ; 0.057; ; 49.77; 0.25; ; radial vel.; 2009; 71.63; 0.84; 5599; ; 
HD 92788 b; Planet; ; 3.76; ; 325.803; 0.97; ; radial vel.; 2000; 113.15; 1.15; 5744; ; 
HD 93083 b; Planet; ; 0.37; ; 143.58; 0.477; ; radial vel.; 2005; 93.09; 0.7; 4995; Melquíades; 
HD 96167 b; Planet; ; 0.717; ; 498.04; 1.332; ; radial vel.; 2009; 278.91; 1.27; 5733; ; 
HD 99109 b; Planet; ; 0.44; ; 439.3; 1.11; ; radial vel.; 2005; 179; 0.76; 5282; Perwana; 
HD 100777 b; Planet; ; 1.03; ; 383.7; 1.03; ; radial vel.; 2007; 161.78; 0.83; 5533; Laligurans; 
HD 101930 b; Planet; ; 0.25; ; 70.46; 0.3; ; radial vel.; 2005; 98.01; 0.57; 5108; ; 
HD 102117 b; Planet; ; 0.17; ; 20.8133; 0.15; ; radial vel.; 2005; 129.23; 1.06; 5655; Leklsullun; 
HD 102195 b; Planet; ; 0.41; ; 4.11377; 0.05; ; radial vel.; 2006; 95.76; 0.76; 5301; Lete; 
HD 102272 b; Planet; ; 4.94; ; 127.58; 0.51; ; radial vel.; 2008; 1142; 1.45; 4790; ; 
HD 103197 b; Planet; ; 0.09; ; 47.84; 0.25; ; radial vel.; 2009; 186.7; 0.8; 5250; ; 
HD 104067 b; Planet; ; 0.16; ; 55.806; 0.26; ; radial vel.; 2009; 66.47; 0.62; 4937; ; 
HD 104985 b; Planet; ; 8.3; ; 199.505; 0.95; ; radial vel.; 2003; 328.97; 2.3; 4877; Meztli; 
HD 106252 b; Planet; ; 30.6; ; 1531; 2.61; ; radial vel.; 2002; 124.69; 1.05; 5890; ; 
HD 107148 b; Planet; ; 0.21; ; 48.056; 0.269; ; radial vel.; 2005; 161.42; 1.12; 5797; ; 
HD 108147 b; Planet; ; 0.261; ; 10.8985; 0.102; 890; radial vel.; 2002; 127.07; 1.27; 6265; Tumearandu; 
HD 108874 b; Planet; ; 1.42; ; 394.48123; 1.04; ; radial vel.; 2002; 194.46; 1.1; 5600; ; 
HD 108874 c; Planet; ; 0.99; ; 1624; 2.659; ; radial vel.; 2005; 194.46; 1.1; 5600; ; 
HD 109749 b; Planet; ; 0.27; ; 5.239891; 0.0615; ; radial vel.; 2005; 206.14; 1.13; 5824; ; 
HD 111232 b; Planet; ; 7.14; ; 1143; 1.97; ; radial vel.; 2003; 94.52; 0.84; 5512; ; 
HD 114386 b; Planet; ; 1.14; ; 937.7; 1.73; ; radial vel.; 2003; 91.16; 0.6; 4836; ; 
HD 114729 b; Planet; ; 0.825; ; 1121.79; 2.067; ; radial vel.; 2002; 123.45; 0.94; 5844; ; 
HD 114783 b; Planet; ; 1.1; ; 493.7; 1.16; ; radial vel.; 2001; 66.54; 0.85; 5135; ; 
HD 117207 b; Planet; ; 1.926; ; 2621.75; 3.787; ; radial vel.; 2004; 105.61; 1.05; 5732; ; 
HD 117618 b; Planet; ; 0.174; ; 25.8; 0.18; ; radial vel.; 2004; 123.36; 1.08; 5990; Noifasui; 
HD 118203 b; Planet; ; 2.79; ; 6.1335; 0.07; ; radial vel.; 2005; 301.74; 1.84; 5864; Staburags; 
HD 121504 b; Planet; ; 1.51; ; 63.33; 0.33; ; radial vel.; 2003; 136.04; 1.62; 6027; ; 
HD 125595 b; Planet; ; 0.02; ; 9.6737; 0.08; ; radial vel.; 2009; 92.04; 0.29; 4691; ; 
HD 125612 b; Planet; ; 3.1; ; 557.04; 1.372; ; radial vel.; 2007; 188.26; 1.11; 5841; ; 
HD 125612 c; Planet; ; 0.055; ; 4.15514; 0.0524; ; radial vel.; 2009; 188.26; 1.11; 5841; ; 
HD 125612 d; Planet; ; 7.28; ; 2835; 4.06; ; radial vel.; 2009; 188.26; 1.11; 5841; ; 
HD 126614 Ab; Planet; ; 0.41; ; 1244; 2.37; ; radial vel.; 2009; 238.92; 1.26; 5568; ; 
HD 128311 b; Planet; ; 1.769; ; 453.019; 1.084; ; radial vel.; 2002; 53.88; 0.83; 4863; ; 
HD 128311 c; Planet; ; 3.789; ; 921.538; 1.74; ; radial vel.; 2005; 53.88; 0.83; 4863; ; 
HD 131664 b; Planet; ; 19.12; ; 1951; 3.17; ; radial vel.; 2008; 172.51; 1.19; 5892; ; 
HD 132406 b; Planet; ; 5.38; ; 974; 1.98; ; radial vel.; 2007; 231.35; 1.03; 5783; ; 
HD 139357 b; Planet; ; 9.76; ; 1125.7; 2.36; ; radial vel.; 2008; 366.77; 1.35; 4700; ; 
HD 141937 b; Planet; ; 9.69; ; 653.21997; 1.5; ; radial vel.; 2002; 108.91; 1.09; 5870; ; 
HD 142022 Ab; Planet; ; 4.44; ; 1928; 2.93; ; radial vel.; 2005; 111.91; 0.9; 5421; ; 
HD 142415 b; Planet; ; 1.67; ; 386.3; 1.06; ; radial vel.; 2003; 116.02; 1.07; 5940; ; 
HD 143361 b; Planet; ; 3.532; ; 1039.15; 1.988; ; radial vel.; 2008; 223.91; 0.97; 5507; ; 
HD 145377 b; Planet; ; 6.02; ; 103.95; 0.45; ; radial vel.; 2008; 174.73; 1.2; 6014; ; 
HD 147018 b; Planet; ; 2.12; ; 44.236; 0.2388; ; radial vel.; 2009; 140.12; 0.93; 5441; ; 
HD 147018 c; Planet; ; 6.56; ; 1008; 1.922; ; radial vel.; 2009; 140.12; 0.93; 5441; ; 
HD 147513 b; Planet; ; 1.21; ; 528.4; 1.32; ; radial vel.; 2003; 42.11; 1.11; 5883; ; 
HD 148156 b; Planet; ; 0.85; ; 1027; 2.45; ; radial vel.; 2009; 186.63; 1.22; 6308; ; 
HD 148427 b; Planet; ; 1.3; ; 331.5; 1.04; ; radial vel.; 2009; 233.21; 1.64; 5025; Tondra; 
HD 149026 b; Planet; ; 0.38; 0.74; 2.87589; 0.04364; 1626; radial vel.; 2005; 247.98; 1.42; 6179; Smertrios; 
HD 149143 b; Planet; ; 1.33; ; 4.07182; 0.053; ; radial vel.; 2005; 239.5; 1.2; 5856; Riosar; 
HD 153950 b; Planet; ; 2.95; ; 499.4; 1.28; ; radial vel.; 2008; 158.26; 1.25; 6124; Trimobe; 
HD 154345 b; Planet; ; 0.82; ; 3341.55884; 4.21; ; radial vel.; 2006; 59.66; 0.71; 5468; ; 
HD 154672 b; Planet; ; 5.37; ; 163.94; 0.6; ; radial vel.; 2008; 206.01; 1.18; 5743; ; 
HD 154857 b; Planet; ; 2.45; ; 408.6; 1.29; ; radial vel.; 2004; 207.31; 1.96; 5589; ; 
HD 155358 b; Planet; ; 0.99; ; 194.3; 0.63; ; radial vel.; 2007; 142.44; 1.15; 5905; ; 
HD 155358 c; Planet; ; 0.82; ; 391.9; 1.02; ; radial vel.; 2007; 142.44; 1.15; 5905; ; 
HD 156411 b; Planet; ; 0.74; ; 842.2; 1.88; ; radial vel.; 2009; 185.78; 1.25; 5900; Sumajmajta; 
HD 156846 b; Planet; ; 10.67; ; 359.51001; 1.12; ; radial vel.; 2007; 155.91; 1.38; 6090; ; 
HD 159868 b; Planet; ; 2.218; ; 1184.1; 2.32; ; radial vel.; 2006; 182.46; 1.19; 5534; ; 
HD 162020 b; Planet; ; 9.84; ; 8.4282; 0.08; ; radial vel.; 2002; 100.62; 0.42; 4723; ; 
HD 164922 b; Planet; ; 0.31; ; 1155; 2.1; 159; radial vel.; 2005; 71.82; 0.76; 5372; ; 
HD 167042 b; Planet; ; 1.7; ; 420.77; 1.32; ; radial vel.; 2007; 162.2; 1.5; 4943; ; 
HD 168443 c; Planet; ; 17.193; ; 1749.83; 2.8373; ; radial vel.; 2000; 129.39; 0.99; 5491; ; 
HD 168746 b; Planet; ; 0.27; ; 6.404; 0.07; 900; radial vel.; 2002; 135.75; 1.07; 5570; Onasilos; 
HD 169830 b; Planet; ; 2.88; ; 225.62; 0.81; 345; radial vel.; 2000; 122.77; 1.4; 6299; ; 
HD 169830 c; Planet; ; 4.04; ; 2102; 3.6; ; radial vel.; 2003; 122.77; 1.4; 6299; ; 
HD 170469 b; Planet; ; 0.66; ; 1145; 2.24; ; radial vel.; 2007; 196.61; 1.1; 5842; ; 
HD 171028 b; Planet; ; 2.62; ; 550; 1.32; ; radial vel.; 2007; 365.34; 1.53; 5671; ; 
HD 171238 b; Planet; ; 2.72; ; 1532; 2.57; ; radial vel.; 2009; 146.35; 0.96; 5440; ; 
HD 173416 b; Planet; ; 2.7; ; 323.6; 1.16; ; radial vel.; 2008; 432.76; 2; 4683; Wangshu; 
HD 175541 b; Planet; ; 0.598; ; 298.43; 0.975; ; radial vel.; 2007; 424.28; 1.39; 5013; Kavian; 
HD 178911 Bb; Planet; ; 8.03; ; 71.484; 0.34; ; radial vel.; 2001; 133.79; 1.24; 5588; ; 
HD 179079 b; Planet; ; 0.081; ; 14.479; 0.1214; ; radial vel.; 2008; 227.83; 1.14; 5646; ; 
HD 179949 b; Planet; ; 0.916; ; 3.092514; 0.0443; ; radial vel.; 2000; 89.63; 1.21; 6168; Mastika; 
HD 181433 b; Planet; ; 0.02; ; 9.3743; 0.08; ; radial vel.; 2008; 87.74; 0.63; 4918; ; 
HD 181433 c; Planet; ; 0.64; ; 962; 1.76; ; radial vel.; 2008; 87.74; 0.63; 4918; ; 
HD 181433 d; Planet; ; 0.54; ; 2172; 3; ; radial vel.; 2008; 87.74; 0.63; 4918; ; 
HD 181720 b; Planet; ; 0.4; ; 956; 1.85; ; radial vel.; 2009; 196.71; 1.03; 5736; Toge; 
HD 183263 b; Planet; ; 3.95; ; 626.51599; 1.49; ; radial vel.; 2004; 177.04; 1.31; 5948; ; 
HD 183263 c; Planet; ; 3.57; ; 3070; 4.35; ; radial vel.; 2008; 177.04; 1.31; 5948; ; 
HD 185269 b; Planet; ; 1.01; ; 6.83776; 0.077; ; radial vel.; 2006; 169.84; 1.3; 5923; ; 
HD 187085 b; Planet; ; 0.836; ; 1019.74; 2.1; ; radial vel.; 2006; 149.91; 1.19; 6117; ; 
HD 187123 c; Planet; ; 1.99; ; 3810; 4.89; ; radial vel.; 2008; 150.1; 1; 5830; ; 
HD 188015 b; Planet; ; 1.5; ; 461.2; 1.203; ; radial vel.; 2004; 165.5; 1.09; 5746; ; 
HD 189733 b; Planet; ; 1.13; 1.13; 2.21857567; 0.0313; 1209; radial vel.; 2005; 64.52; 0.79; 5052; ; 
HD 190647 b; Planet; ; 1.985; ; 1176.45; 2.231; ; radial vel.; 2007; 177.96; 1.07; 5656; ; 
HD 190984 b; Planet; ; 3.1; ; 4885; 5.5; ; radial vel.; 2009; 485.37; 0.91; 5988; ; 
HD 192699 b; Planet; ; 2.096; ; 340.94; 1.063; ; radial vel.; 2007; 234.87; 1.38; 5041; Khomsa; 
HD 196050 b; Planet; ; 3.18; ; 1378; 2.51; ; radial vel.; 2002; 165.53; 1.31; 5879; ; 
HD 196885 Ab; Planet; ; 2.58; ; 1333; 2.37; ; radial vel.; 2007; 111.55; 1.28; 6254; ; 
HD 202206 c; Planet; ; 17.9; ; 1260; 2.41; ; radial vel.; 2004; 150.13; 1.27; 5760; ; 
HD 203030 b; Planet; ; 11+4 −3; ; ; 487.1; 1040±50; imaging; 2006; 128.1±0.3; 0.965; 5472; ; 
HD 205739 b; Planet; ; 1.37; ; 279.8; 0.896; ; radial vel.; 2008; 302.49; 1.22; 6176; Samagiya; 
HD 208487 b; Planet; ; 0.52; ; 130.08; 0.524; ; radial vel.; 2004; 143.51; 1.13; 6067; Mintome; 
HD 210702 b; Planet; ; 1.808; ; 354.1; 1.148; ; radial vel.; 2007; 177.04; 1.61; 4951; ; 
HD 212301 b; Planet; ; 0.51; ; 2.24571; 0.03; ; radial vel.; 2005; 177.17; 1.55; 6239; ; 
HD 213240 b; Planet; ; 5.58; ; 882.7; 1.89; ; radial vel.; 2001; 133.47; 1.57; 5979; ; 
HD 215497 b; Planet; ; 0.02; ; 3.93404; 0.05; ; radial vel.; 2009; 132.39; 0.67; 5110; ; 
HD 215497 c; Planet; ; 0.33; ; 567.94; 1.282; ; radial vel.; 2009; 132.39; 0.67; 5110; ; 
HD 216770 b; Planet; ; 0.57; ; 118.45; 0.46; ; radial vel.; 2003; 119.7; 0.74; 5399; ; 
HD 217107 c; Planet; ; 2.6; ; 4270; 5.32; ; radial vel.; 2005; 65.46; 1; 5622; ; 
HD 219828 b; Planet; ; 0.066; ; 3.83492; 0.0507; ; radial vel.; 2007; 238.98; 1.18; 5807; ; 
HD 221287 b; Planet; ; 3.09; ; 456.1; 1.25; ; radial vel.; 2007; 182.69; 1.25; 6304; Pipitea; 
HD 224693 b; Planet; ; 0.7; ; 26.6904; 0.191; ; radial vel.; 2006; 305.78; 1.31; 5894; Xólotl; 
HD 231701 b; Planet; ; 1.13; ; 141.63; 0.567; ; radial vel.; 2007; 356.24; 1.21; 6101; Babylonia; 
HD 240210 b; Planet; ; 5.21; ; 501.75; 1.16; ; radial vel.; 2009; 465.96; 0.82; 4297; ; 
HD 290327 b; Planet; ; 2.43; ; 2443; 3.43; ; radial vel.; 2009; 184.35; 0.84; 5505; ; 
HD 330075 b; Planet; ; 0.48; ; 3.38773; 0.04; 990; radial vel.; 2004; 147.95; 0.47; 5000; ; 
HIP 5158 b; Planet; ; 1.42; ; 345.72; 0.89; ; radial vel.; 2009; 168.56; 0.78; 4962; ; 
HIP 14810 b; Planet; ; 3.9; ; 6.673892; 0.0696; ; radial vel.; 2005; 164.88; 1.01; 5544; ; 
HIP 14810 c; Planet; ; 1.31; ; 147.747; 0.549; ; radial vel.; 2006; 164.88; 1.01; 5544; ; 
HIP 14810 d; Planet; ; 0.59; ; 981.8; 1.94; ; radial vel.; 2009; 164.88; 1.01; 5544; ; 
HIP 70849 b; Planet; ; 9; ; 17337.5; 20.25; ; radial vel.; 2009; 78.51; 0.63; 4105; ; 
HIP 79431 b; Planet; ; 2.1; ; 111.7; 0.36; ; radial vel.; 2009; 47.42; 0.42; 3368; Barajeel; 
HN Pegasi b; Planet; ; 21.9987; 1.051; ; 773; ; imaging; 2006; 59.13; 1.1; 5974; ; 
HR 8799 b; Planet; ; 7; 1.2; 170000; 68; 1200; imaging; 2008; 128.51; 1.51; 7400; ; 
HR 8799 c; Planet; ; 10; 1.2; 69000; 38; 1200; imaging; 2008; 128.51; 1.51; 7400; ; 
HR 8799 d; Planet; ; 10; 1.2; 37000; 24; 1300; imaging; 2008; 128.51; 1.51; 7400; ; 
Iota Draconis b; Planet; ; 8.82; ; 511.098; 1.275; ; radial vel.; 2002; 103.3; 1.05; 4530; Hypatia; 
Kappa Coronae Borealis b; Planet; ; 2.17; ; 1285; 2.65; ; radial vel.; 2007; 98.14; 1.5; 4871; ; 
Kepler-4b; Planet; ; 0.077; 0.357; 3.21346; 0.0456; 1650; transit; 2009; 1794; 1.22; 5857; ; 
Kepler-5b; Planet; ; 2.111; 1.426; 3.5484657; 0.0538; 1750; transit; 2009; 3012; 1.37; 6297; ; 
Kepler-6b; Planet; ; 0.668; 1.304; 3.2346996; 0.04852; 1460; transit; 2009; 1948; 1.21; 5647; ; 
Kepler-7b; Planet; ; 0.441; 1.622; 4.8854892; 0.06067; 1630; transit; 2009; 3090; 1.36; 5933; ; 
Kepler-1658b; Planet; ; 5.88; 1.04; 3.8494; 0.0546; ; transit; 2009; 2629.05; 2.891+0.130 −0.106; 6216±78; ; 
Lupus-TR-3b; Planet; ; 0.81; 0.89; 3.91405; 0.0464; ; transit; 2007; 6523; 0.87; 5000; ; 
MOA-2007-BLG-192Lb; Planet; ; 0.01; ; ; 0.62; ; microlensing; 2008; 3262; 0.06; ; ; 
MOA-2007-BLG-400Lb; Planet; ; 0.83; ; ; 0.72; 103; microlensing; 2008; 19000; 0.3; ; ; 
MOA-2008-BLG-310Lb; Planet; ; 0.07362; ; ; 1.61; ; microlensing; 2009; 25000; 0.21; ; ; 
Mu Arae b; Planet; ; 1.676; ; 643.25; 1.497; ; radial vel.; 2000; 50.91; 1.08; 5786; Quijote; 
Mu Arae c; Planet; ; 0.03321; ; 9.6386; 0.09094; 900; radial vel.; 2004; 50.91; 1.08; 5786; Dulcinea.; 
Mu Arae d; Planet; ; 0.5219; ; 310.55; 0.921; ; radial vel.; 2006; 50.91; 1.08; 5786; Rocinante.; 
Mu Arae e; Planet; ; 1.814; ; 4205.8; 5.235; ; radial vel.; 2004; 50.91; 1.08; 5786; Sancho.; 
NGC 2423-3 b; Planet; ; 9.78; ; 714.3; 1.66; ; radial vel.; 2007; 3095; 2.12; 4545; ; 
OGLE-2003-BLG-235Lb; Planet; ; 2.6; ; ; 4.3; ; microlensing; 2004; 19000; 0.63; ; ; 
OGLE-2005-BLG-071Lb; Planet; ; 3.8; ; ; 3.6; 55; microlensing; 2005; 10400; 0.46; ; ; 
OGLE-2005-BLG-169Lb; Planet; ; 0.04436; ; ; 3.5; ; microlensing; 2006; 13000; 0.69; ; ; 
OGLE-2005-BLG-390Lb; Planet; ; 0.017; ; 3285; 2.6; 50; microlensing; 2005; 22000; 0.22; ; ; 
OGLE-2006-BLG-109Lb; Planet; ; 0.73; ; 1788.5; 2.3; 82; microlensing; 2008; 4925; 0.51; ; ; 
OGLE-2006-BLG-109Lc; Planet; ; 0.27; ; 4927.5; 4.5; 59; microlensing; 2008; 4925; 0.51; ; ; 
OGLE-2007-BLG-368Lb; Planet; ; 0.06; ; ; 3.3; ; microlensing; 2009; 19000; 0.64; ; ; 
OGLE-TR-10b; Planet; ; 0.62; 1.25; 3.101278; 0.0434; 1702; transit; 2004; 4521; 1.14; 5950; ; 
OGLE-TR-56b; Planet; ; 1.39; 1.363; 1.2119189; 0.02383; 2212; transit; 2002; 922.53; 1.17; 6050; ; 
OGLE-TR-111b; Planet; ; 0.55; 1.019; 4.0144463; 0.0473; 1019; transit; 2004; 3578; 0.85; 5040; ; 
OGLE-TR-113b; Planet; ; 1.26; 1.093; 1.4324752; 0.02289; 1342; transit; 2004; 1957; 0.78; 4790; ; 
OGLE-TR-132b; Planet; ; 1.18; 1.2; 1.689868; 0.03035; 2013; transit; 2004; 8154; 1.3; 6210; ; 
OGLE-TR-182b; Planet; ; 1.01; 1.13; 3.9791; 0.051; 1550; transit; 2007; 8707; 1.14; 5924; ; 
OGLE-TR-211b; Planet; ; 1.03; 1.36; 3.67724; 0.051; 1686; transit; 2007; 5136; 1.33; 6325; ; 
OGLE2-TR-L9b; Planet; ; 4.5; 1.61; 2.4855335; 0.0308; 2034; transit; 2008; 5559; 1.52; 6933; ; 
Oph 11 b; Planet; ; 14; ; 7300000; 243; 2175; imaging; 2006; 407.71; 0.02; 2375; ; 
Pi Mensae b; Planet; ; 10.02; ; 2093.07; 3.1; ; radial vel.; 2001; 59.62; 1.09; 6037; ; 
Pollux b; Planet; ; 2.3; ; 589.64; 1.64; ; radial vel.; 2006; 33.73; 2.1; 4946; Thestias; 
q1 Eridani b; Planet; ; 0.94; ; 989.2; 2.015; ; radial vel.; 2006; 56.56; 1.11; 6218; ; 
Rho Indi b; Planet; ; 2.223; ; 1334.28; 2.497; ; radial vel.; 2002; 87.12; 1.17; 5909; ; 
SWEEPS-04b; Planet; ; 3.8; 0.81; 4.2; 0.055; ; transit; 2006; 28000; 1.24; ; ; 
SWEEPS-11b; Planet; ; 9.7; 1.13; 1.796; 0.03; ; transit; 2006; 28000; 1.1; ; ; 
Tau Geminorum b; Planet; ; 20.6; ; 305.5; 1.17; ; radial vel.; 2003; 301.7; 2.3; 4388; ; 
Tau1 Gruis b; Planet; ; 1.26; ; 1311; 2.56; ; radial vel.; 2002; 107.67; 1.3; 5999; ; 
TrES-1b; Planet; ; 0.84; 1.13; 3.03007; 0.03925; 1140; transit; 2004; 523.14; 1.04; 5230; ; 
TrES-2b; Planet; ; 1.49; 1.36; 2.47063; 0.03563; 1466; transit; 2006; 706.67; 1.36; 5850; ; 
TrES-3b; Planet; ; 1.91; 1.336; 1.30618581; 0.02282; 1638; transit; 2007; 743.66; 0.93; 5650; Umbäässa; 
TrES-4b; Planet; ; 0.78; 1.61; 3.55395; 0.05084; 1778; transit; 2007; 1708; 1.08; 6200; ; 
UScoCTIO 108 b; Planet; ; 14; ; ; 670; ; imaging; 2008; 470.63; 0.06; 2700; ; 
V391 Pegasi b; Planet; ; 3.2; ; 1170; 1.7; ; timing; 2007; 4566; 0.5; 29300; ; 
WASP-1b; Planet; ; 0.854; 1.483; 2.5199454; 0.03889; 1812; transit; 2007; 1296; 1.24; 6252; ; 
WASP-2b; Planet; ; 0.931; 1.081; 2.152175; 0.03144; 1311; transit; 2007; 501.94; 0.9; 5180; ; 
WASP-3b; Planet; ; 2.43; 1.42; 1.84683; 0.0315; 2020; transit; 2007; 758.99; 1.62; 6400; ; 
WASP-4b; Planet; ; 1.186; 1.321; 1.33823147; 0.0226; 1673; transit; 2007; 878.07; 0.86; 5400; ; 
WASP-5b; Planet; ; 1.58; 1.087; 1.6284279; 0.0267; 1706; transit; 2008; 1018; 0.96; 5700; ; 
WASP-6b; Planet; ; 0.37; 1.03; 3.36101; 0.04217; 1184; transit; 2009; 646.56; 0.55; 5450; Boinayel; 
WASP-7b; Planet; ; 0.96; 1.33; 4.9546416; 0.0617; 1487; transit; 2008; 531.82; 1.28; 6400; ; 
WASP-10b; Planet; ; 3.15; 1.08; 3.0927616; 0.03781; 1370; transit; 2008; 461.75; 0.75; 4675; ; 
WASP-11b; Planet; ; 0.79; 1.11; 3.72247; 0.0435; 992; transit; 2008; 408.1; 1.42; 4800; ; 
WASP-12b; Planet; ; 1.465; 1.937; 1.09142; 0.0232; 2593; transit; 2008; 1411; 1.43; 6360; ; 
WASP-13b; Planet; ; 0.36; 1.22; 4.35301; 0.05362; 1531; transit; 2009; 746.89; 0.72; 5950; Cruinlagh; 
WASP-14b; Planet; ; 8.84; 1.38; 2.24375; 0.037; 1872; transit; 2008; 530.84; 1.62; 6475; ; 
WASP-15b; Planet; ; 0.54; 1.41; 3.7521; 0.05165; 1676; transit; 2009; 927.46; 1.18; 6300; Asye; 
WASP-16b; Planet; ; 1.24; 1.22; 3.1186; 0.0415; 1389; transit; 2009; 636.68; 1.78; 5700; ; 
WASP-17b; Planet; ; 0.78; 1.87; 3.73543; 0.0515; 1755; transit; 2009; 1339; 2.28; 6550; Ditsö̀; 
WASP-18b; Planet; ; 10.42954; 1.191; 0.94124; 0.02; 2413; transit; 2009; 404.19; 1.22; 6400; ; 
WASP-19b; Planet; ; 1.069; 1.392; 0.78883899; 0.01634; 2520; transit; 2009; 881.99; 0.9; 5568; ; 
Xi Aquilae b; Planet; ; 2.8; ; 136.75; 0.68; ; radial vel.; 2007; 183.53; 2.2; 4780; Fortitudo; 
XO-1b; Planet; ; 0.83; 1.14; 3.94153; 0.0488; 1210; transit; 2006; 535.99; 0.88; 5750; Negoiu; 
XO-2Nb; Planet; ; 0.566; 0.993; 2.61586178; 0.0368; 1328; transit; 2007; 505.36; 0.97; 5307; ; 
XO-3b; Planet; ; 7.29; 1.41; 3.19154; 0.04529; 1729; transit; 2007; 699.01; 0.58; 6429; ; 
XO-4b; Planet; ; 1.42; 1.25; 4.12508; 0.05524; 1630; transit; 2008; 896.27; 1.1; 6397; Hämarik; 
XO-5b; Planet; ; 1.19; 1.14; 4.1877558; 0.0515; 1230; transit; 2008; 907.95; 1.04; 5430; Makropulos; 
2MASS J04414489+2301513 b; Planet; ; 7.5; ; ; 15; ; imaging; 2010; 456.63; 0.02; ; ; 
24 Sextantis b; Planet; ; 1.99; ; 452.8; 1.333; ; radial vel.; 2010; 235.53; 1.54; 5098; ; 
24 Sextantis c; Planet; ; 0.86; ; 883; 2.08; ; radial vel.; 2010; 235.53; 1.54; 5098; ; 
Alpha Arietis b; Planet; ; 1.8; ; 380.8; 1.2; ; radial vel.; 2010; 65.92; 1.5; 4553; ; 
CoRoT-8b; Planet; ; 0.22; 0.57; 6.21229; 0.063; 870; transit; 2010; 1239; 0.88; 5080; ; 
CoRoT-10b; Planet; ; 2.75; 0.97; 13.2406; 0.1055; 600; transit; 2010; 1125; 0.89; 5075; ; 
CoRoT-11b; Planet; ; 2.33; 1.43; 2.99433; 0.0436; 1657; transit; 2010; 1827; 1.27; 6440; ; 
CoRoT-12b; Planet; ; 0.917; 1.44; 2.828042; 0.04016; 1442; transit; 2010; 3751; 1.08; 5675; ; 
CoRoT-13b; Planet; ; 1.308; 0.885; 4.03519; 0.051; 1700; transit; 2010; 3457; 1.09; 5945; ; 
CoRoT-14b; Planet; ; 7.6; 1.09; 1.51214; 0.027; 1952; transit; 2010; 4371; 1.13; 6035; ; 
Gliese 676 Ab; Planet; ; 6.7; ; 1056.8; 1.82; ; radial vel.; 2010; 52.28; 0.73; 3734; ; 
Gliese 876 e; Planet; ; 0.046; ; 124.26; 0.3343; ; radial vel.; 2010; 15.26; 0.32; 3129; ; 
Gliese 1148 b; Planet; ; 0.30425; ; 41.38; 0.166; ; radial vel.; 2010; 35.94; 0.35; 3264; ; 
Gliese 3634 b; Planet; ; 0.026; ; 2.64561; 0.0287; ; radial vel.; 2010; 64.58; 0.45; 3685; ; 
GSC 06214-00210 b; Planet; ; 16; 1.8; ; 320; 2300; imaging; 2010; 472.94; 0.9; 4200; ; 
