Country,week day,day,meaning,type,notes
bolivia,Thursday,Jan 01,New Year's Day,National Holiday,
bolivia,Thursday,Jan 22,Plurinational State Foundation Day,National Holiday,
bolivia,Friday,Feb 13,Public Holiday,Regional Holiday,Oruro only
bolivia,Monday,Feb 16,Carnival Monday,National Holiday,Celebrated Monday and Tuesday before Ash Wednesday
bolivia,Tuesday,Feb 17,Carnival Tuesday,National Holiday,Celebrated Monday and Tuesday before Ash Wednesday
bolivia,Friday,Apr 03,Good Friday,National Holiday,
bolivia,Wednesday,Apr 15,Public Holiday,Regional Holiday,Tarija
bolivia,Friday,May 01,Labour Day,National Holiday,International Workers' Day
bolivia,Monday,May 25,Chuquisaca Day,Regional Holiday,Chuquisaca
bolivia,Thursday,Jun 04,Corpus Christi,National Holiday,Second Thursday after Whitsun
bolivia,Sunday,Jun 21,Andean New Year,National Holiday,Winter Solstice in Southern Hemisphere
bolivia,Thursday,Jul 16,La Paz day,Regional Holiday,La Paz
bolivia,Thursday,Aug 06,Independence Day,National Holiday,National Day
bolivia,Monday,Sep 14,Cochabamba Day (in lieu),Regional Holiday,Cochabamba
bolivia,Thursday,Sep 24,Public Holiday,Regional Holiday,Santa Cruz only
bolivia,Sunday,Oct 11,Public Holiday,Regional Holiday,Pando only
bolivia,Monday,Nov 02,All Souls' Day,National Holiday,
bolivia,Tuesday,Nov 10,Public Holiday,Regional Holiday,Potosí only
bolivia,Wednesday,Nov 18,Public Holiday,Regional Holiday,Beni only
bolivia,Friday,Dec 25,Christmas Day,National Holiday,
bonaire-st-eustatius-saba,Thursday,Jan 01,New Year's Day,Public Holiday,
bonaire-st-eustatius-saba,Friday,Apr 03,Good Friday,Public Holiday,
bonaire-st-eustatius-saba,Sunday,Apr 05,Easter Sunday,Public Holiday,
bonaire-st-eustatius-saba,Monday,Apr 06,Easter Monday,Public Holiday,
bonaire-st-eustatius-saba,Monday,Apr 27,King's Day,Public Holiday,National Day
bonaire-st-eustatius-saba,Thursday,Apr 30,Rincon Day,Regional Holiday,Bonaire
bonaire-st-eustatius-saba,Friday,May 01,Labour Day,Public Holiday,International Workers' Day
bonaire-st-eustatius-saba,Thursday,May 14,Ascension Day,Public Holiday,39 days after Easter Sunday
bonaire-st-eustatius-saba,Sunday,May 24,Whit Sunday,Public Holiday,50 Days after Easter
bonaire-st-eustatius-saba,Wednesday,Jul 01,Dutch Emancipation Day,Regional Holiday,Bonaire; Sint Eustatius
bonaire-st-eustatius-saba,Monday,Jul 27,Carnival Monday,Regional Holiday,Saba. Last Monday in July
bonaire-st-eustatius-saba,Sunday,Sep 06,Bonaire Flag Day,Regional Holiday,Bonaire
bonaire-st-eustatius-saba,Monday,Nov 16,Sint Eustatius Flag Day,Regional Holiday,Sint Eustatius
bonaire-st-eustatius-saba,Friday,Dec 04,Saba Day,Regional Holiday,Saba. First Friday in December
bonaire-st-eustatius-saba,Tuesday,Dec 15,Kingdom Day,Regional Holiday,
bonaire-st-eustatius-saba,Friday,Dec 25,Christmas Day,Public Holiday,
bonaire-st-eustatius-saba,Saturday,Dec 26,Boxing Day,Public Holiday,
bosnia-and-herzegovina,Thursday,Jan 01,New Year's Day,National Holiday,
bosnia-and-herzegovina,Friday,Jan 02,New Year's Holiday,National Holiday,
bosnia-and-herzegovina,Tuesday,Jan 06,Orthodox Christmas Eve,Regional Holiday,Srpska
bosnia-and-herzegovina,Wednesday,Jan 07,Orthodox Christmas,Regional Holiday,Srpska
bosnia-and-herzegovina,Wednesday,Jan 14,Orthodox New Year's Day,Regional Holiday,Srpska
bosnia-and-herzegovina,Sunday,Mar 01,Independence Day,Regional Holiday,Federation of B&H
bosnia-and-herzegovina,Friday,Mar 20,Ramadan Bajram,Regional Holiday,Federation of B&H
bosnia-and-herzegovina,Friday,Apr 03,Good Friday (Catholic),Regional Holiday,Federation of B&H
bosnia-and-herzegovina,Sunday,Apr 05,Easter (Catholic),Regional Holiday,Federation of B&H
bosnia-and-herzegovina,Monday,Apr 06,Easter Monday (Catholic),Regional Holiday,Federation of B&H
bosnia-and-herzegovina,Friday,Apr 10,Good Friday (Orthodox),Regional Holiday,Srpska
bosnia-and-herzegovina,Sunday,Apr 12,Orthodox Easter Day,Regional Holiday,Srpska
bosnia-and-herzegovina,Monday,Apr 13,Orthodox Easter Monday,Regional Holiday,Srpska
bosnia-and-herzegovina,Friday,May 01,Labour Day,National Holiday,International Workers' Day
bosnia-and-herzegovina,Saturday,May 09,Victory Day,Regional Holiday,Srpska
bosnia-and-herzegovina,Tuesday,Jun 16,Hijri New Year,Regional Holiday,Federation of B&H
bosnia-and-herzegovina,Sunday,Jun 28,St. Vitus' Day,Regional Holiday,Srpska
bosnia-and-herzegovina,Sunday,Nov 01,All Saints' Day,Regional Holiday,Federation of B&H
bosnia-and-herzegovina,Sunday,Nov 22,General Framework Agreement Day,Regional Holiday,Srpska
bosnia-and-herzegovina,Wednesday,Nov 25,Statehood Day,Regional Holiday,Federation of B&H
bosnia-and-herzegovina,Friday,Dec 25,Christmas (Catholic),Regional Holiday,Federation of B&H
botswana,Thursday,Jan 01,New Year's Day,National Holiday,
botswana,Friday,Jan 02,Public Holiday,National Holiday,
botswana,Friday,Apr 03,Good Friday,National Holiday,
botswana,Monday,Apr 06,Easter Monday,National Holiday,
botswana,Friday,May 01,Labour Day,National Holiday,International Workers' Day
botswana,Thursday,May 14,Ascension,National Holiday,39 days after Easter Sunday
botswana,Wednesday,Jul 01,Sir Seretse Khama Day,National Holiday,
botswana,Monday,Jul 20,President's Day,National Holiday,3rd Monday in July
botswana,Tuesday,Jul 21,President's Day Holiday,National Holiday,Tuesday after 3rd Monday in July
botswana,Wednesday,Sep 30,Botswana Day,National Holiday,
botswana,Thursday,Oct 01,Botswana Day Holiday,National Holiday,
botswana,Friday,Dec 25,Christmas Day,National Holiday,
botswana,Saturday,Dec 26,Boxing Day,National Holiday,
brazil,Thursday,Jan 01,New Year's Day,National Holiday,
brazil,Sunday,Jan 25,São Paulo Anniversary,Regional Holiday,São Paulo Municipal
brazil,Monday,Feb 16,Carnival,National Holiday,Ponto facultativo
brazil,Tuesday,Feb 17,Carnival,National Holiday,Ponto facultativo
brazil,Wednesday,Feb 18,Ash Wednesday,National Holiday,Ponto facultativo
brazil,Friday,Apr 03,Good Friday,National Holiday,
brazil,Tuesday,Apr 21,Tiradentes Day,National Holiday,
brazil,Thursday,Apr 23,St. George's Day,Government Holiday,Rio de Janeiro. Government; schools
brazil,Friday,May 01,Labour Day,National Holiday,International Workers' Day
brazil,Sunday,May 10,Mother's Day,Not A Public Holiday,
brazil,Thursday,Jun 04,Corpus Christi,National Holiday,Ponto facultativo. Second Thursday after Whitsun
brazil,Thursday,Jul 09,State Rebellion Day,Regional Holiday,São Paulo
brazil,Sunday,Aug 09,Father's Day,Not A Public Holiday,Not a public holiday
brazil,Monday,Sep 07,Independence Day,National Holiday,National Day
brazil,Sunday,Sep 20,Ragamuffin War Anniversary,Regional Holiday,Rio Grande do Sul
brazil,Monday,Oct 12,Lady of Aparecida,National Holiday,Holy Mary's Day
brazil,Monday,Nov 02,All Souls' Day,National Holiday,
brazil,Sunday,Nov 15,Republic Day,National Holiday,
brazil,Friday,Nov 20,Black Awareness Day,National Holiday,
brazil,Friday,Dec 25,Christmas Day,National Holiday,
british-virgin-islands,Thursday,Jan 01,New Year's Day,Public Holiday,
british-virgin-islands,Monday,Mar 09,Hamilton Lavity Stoutt's Birthday,Public Holiday,In lieu of Friday; 6th March
british-virgin-islands,Friday,Apr 03,Good Friday,Public Holiday,
british-virgin-islands,Monday,Apr 06,Easter Monday,Public Holiday,
british-virgin-islands,Monday,May 25,Whit Monday,Public Holiday,7th Monday after Easter
british-virgin-islands,Friday,Jun 12,Sovereign’s Birthday,Public Holiday,
british-virgin-islands,Tuesday,Jun 30,Commemoration of the Freedom,Public Holiday,
british-virgin-islands,Monday,Jul 06,Virgin Islands Day,Public Holiday,First Monday in July
british-virgin-islands,Monday,Aug 03,Emancipation Monday,Public Holiday,First Monday in August
british-virgin-islands,Tuesday,Aug 04,Emancipation Tuesday,Public Holiday,
british-virgin-islands,Wednesday,Aug 05,Emancipation Wednesday,Public Holiday,
british-virgin-islands,Monday,Oct 19,Heroes and Foreparents Day,Public Holiday,Third Monday of October
british-virgin-islands,Monday,Nov 23,The 1949 Great March and Restoration Day,Public Holiday,Fourth Monday of November
british-virgin-islands,Friday,Dec 25,Christmas Day,Public Holiday,
british-virgin-islands,Monday,Dec 28,Boxing Day (in lieu),Public Holiday,
brunei,Thursday,Jan 01,New Year's Day,National Holiday,
brunei,Saturday,Jan 17,Israk Mikraj,National Holiday,
brunei,Tuesday,Feb 17,Lunar New Year,National Holiday,1st day of 1st lunar month
brunei,Thursday,Feb 19,First Day of Ramadhan,National Holiday,Expected Start of Ramadan
brunei,Monday,Feb 23,National Day,National Holiday,
brunei,Saturday,Mar 07,Nuzul Al-Quran,National Holiday,17th day of Ramadan
brunei,Saturday,Mar 21,Hari Raya Aidil Fitri,National Holiday,End of Ramadan
brunei,Sunday,Mar 22,Hari Raya Aidil Fitri Holiday,National Holiday,
brunei,Monday,Mar 23,Hari Raya Aidil Fitri Holiday,National Holiday,
brunei,Tuesday,Mar 24,Hari Raya Aidil Fitri Holiday,National Holiday,
brunei,Wednesday,May 27,Hari Raya Aidil Adha,National Holiday,Feast of the Sacrifice
brunei,Monday,Jun 01,Royal Brunei Armed Forces Day (in lieu),National Holiday,
brunei,Wednesday,Jun 17,Al-Hijra,National Holiday,Hijri New Year
brunei,Wednesday,Jul 15,H.M. The Sultan's Birthday,National Holiday,
brunei,Tuesday,Aug 25,Prophet Muhammad's Birthday,National Holiday,Birthday of Prophet Muhammad
brunei,Friday,Dec 25,Christmas Day,National Holiday,
brunei,Saturday,Dec 26,Christmas Day (in lieu),National Holiday,
bulgaria,Thursday,Jan 01,New Year's Day,National Holiday,
bulgaria,Friday,Jan 02,Public Holiday,National Holiday,
bulgaria,Tuesday,Mar 03,Liberation Day,National Holiday,National Day
bulgaria,Friday,Apr 10,Orthodox Good Friday,National Holiday,Movable
bulgaria,Saturday,Apr 11,Orthodox Holy Saturday,National Holiday,Orthodox Holy Saturday
bulgaria,Sunday,Apr 12,Orthodox Easter Day,National Holiday,
bulgaria,Monday,Apr 13,Orthodox Easter Monday,National Holiday,
bulgaria,Friday,May 01,Labour Day,National Holiday,International Workers' Solidarity Day
bulgaria,Wednesday,May 06,St. George's Day,National Holiday,Day of the Bulgarian Army
bulgaria,Sunday,May 24,Day of Bulgarian Education and Culture and Slavonic Literature,National Holiday,
bulgaria,Monday,May 25,Day of Bulgarian Education and Culture and Slavonic Literature (in lieu),National Holiday,
bulgaria,Sunday,Sep 06,Unification Day,National Holiday,
bulgaria,Monday,Sep 07,Unification Day (in lieu),National Holiday,
bulgaria,Tuesday,Sep 22,Independence Day,National Holiday,
bulgaria,Thursday,Dec 24,Christmas Eve,National Holiday,
bulgaria,Friday,Dec 25,Christmas Day,National Holiday,
bulgaria,Monday,Dec 28,Second Day of Christmas,National Holiday,
bulgaria,Thursday,Dec 31,New Year's Eve,National Holiday,
burkina-faso,Thursday,Jan 01,New Year's Day,
burkina-faso,Saturday,Jan 03,Revolution Day,
burkina-faso,Sunday,Mar 08,Women's Day,
burkina-faso,Friday,Mar 20,Korité,End of Ramadan
burkina-faso,Sunday,Apr 05,Easter Day,
burkina-faso,Monday,Apr 06,Easter Monday,
burkina-faso,Friday,May 01,Labour Day,International Workers' Day
burkina-faso,Thursday,May 14,Ascension Day,39 days after Easter Sunday
burkina-faso,Friday,May 15,Traditional Day,
burkina-faso,Thursday,May 28,Tabaski,Feast of the Sacrifice
burkina-faso,Wednesday,Aug 05,Independence Day,National Day
burkina-faso,Saturday,Aug 15,Assumption Day,
burkina-faso,Sunday,Nov 01,All Saints' Day,
burkina-faso,Friday,Dec 11,Proclamation of the Republic,
burkina-faso,Friday,Dec 25,Christmas Day,
burundi,Thursday,Jan 01,New Year's Day,National Holiday,
burundi,Thursday,Feb 05,Unity Day,National Holiday,
burundi,Monday,Apr 06,President Ntaryamira Day,National Holiday,
burundi,Friday,May 01,Labour Day,National Holiday,International Workers' Day
burundi,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
burundi,Thursday,May 28,Eid Al Adha,National Holiday,Feast of the Sacrifice
burundi,Wednesday,Jul 01,Independence Day,National Holiday,National Day
burundi,Saturday,Aug 15,Assumption Day,National Holiday,
burundi,Monday,Oct 12,Prince Louis Rwagasore Day,National Holiday,
burundi,Wednesday,Oct 21,President Ndadaye's Day,National Holiday,
burundi,Sunday,Nov 01,All Saints' Day,National Holiday,
burundi,Friday,Dec 25,Christmas Day,National Holiday,
cambodia,Thursday,Jan 01,New Year's Day,National Holiday,
cambodia,Wednesday,Jan 07,Victory over Genocide Day,National Holiday,
cambodia,Sunday,Mar 08,International Women's Day,National Holiday,
cambodia,Tuesday,Apr 14,Khmer New Year,National Holiday,Cambodian New Year
cambodia,Wednesday,Apr 15,Khmer New Year Holiday,National Holiday,
cambodia,Thursday,Apr 16,Khmer New Year Holiday,National Holiday,
cambodia,Friday,May 01,International Labour Day,National Holiday,International Workers' Day
cambodia,Monday,May 04,Visak Bochea Day,National Holiday,Birth of Buddha
cambodia,Friday,May 08,King's Birthday,National Holiday,
cambodia,Friday,May 15,Royal Plowing Ceremony,National Holiday,
cambodia,Thursday,Jun 18,King's Mothers' Birthday,National Holiday,
cambodia,Thursday,Sep 24,Constitutional Day,National Holiday,
cambodia,Saturday,Oct 10,Ancestors' Day,National Holiday,
cambodia,Sunday,Oct 11,Ancestors' Day Holiday,National Holiday,
cambodia,Monday,Oct 12,Ancestors' Day Holiday,National Holiday,
cambodia,Thursday,Oct 15,Commemoration Day of King's Father,National Holiday,
cambodia,Thursday,Oct 29,King's Coronation Day,National Holiday,
cambodia,Monday,Nov 09,Independence Day,National Holiday,
cambodia,Tuesday,Nov 24,Water Festival Ceremony,National Holiday,
cambodia,Wednesday,Nov 25,Water Festival Ceremony Holiday,National Holiday,
cambodia,Thursday,Nov 26,Water Festival Ceremony Holiday,National Holiday,
cambodia,Tuesday,Dec 29,Peace Day,National Holiday,
cameroon,Thursday,Jan 01,New Year's Day,National Holiday,
cameroon,Wednesday,Feb 11,Youth Day,National Holiday,
cameroon,Friday,Mar 20,Djouldé Soumaé,National Holiday,End of Ramadan
cameroon,Friday,Apr 03,Good Friday,National Holiday,
cameroon,Friday,May 01,Labour Day,National Holiday,International Workers' Day
cameroon,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
cameroon,Wednesday,May 20,National Day,National Holiday,National Day
cameroon,Thursday,May 28,Eid Al Adha,National Holiday,Feast of the Sacrifice
cameroon,Saturday,Aug 15,Assumption Day,National Holiday,
cameroon,Tuesday,Aug 25,Birthday of Prophet Muhammed,National Holiday,
cameroon,Friday,Dec 25,Christmas Day,National Holiday,
canada,Thursday,Jan 01,New Year's Day,Statutory Holiday,
canada,Monday,Feb 16,Family Day,Regional Holiday,Statutory holiday in several provinces
canada,Monday,Feb 16,Islander Day,Regional Holiday,3rd Monday in February
canada,Monday,Feb 16,Louis Riel Day,Regional Holiday,3rd Monday in February
canada,Monday,Feb 16,Nova Scotia Heritage Day,Regional Holiday,3rd Monday in February
canada,Monday,Mar 16,St. Patrick's Day,Government Holiday,Newfoundland and Labrador
canada,Friday,Apr 03,Good Friday,Regional Holiday,Statutory; optional in Quebec
canada,Monday,Apr 06,Easter Monday,Regional Holiday,Nunavut. Optional in Alberta and Quebec
canada,Monday,Apr 20,St. George's Day,Government Holiday,Newfoundland and Labrador
canada,Sunday,May 10,Mother's Day,Not A Public Holiday,
canada,Monday,May 18,Victoria Day,Regional Holiday,Most provinces
canada,Monday,May 18,National Patriots' Day,Regional Holiday,Quebec
canada,Sunday,Jun 21,Father's Day,Not A Public Holiday,3rd Sunday in June. Not a public holiday
canada,Sunday,Jun 21,National Indigenous Peoples Day,Regional Holiday,Northwest Territories; Yukon
canada,Monday,Jun 22,June Day,Regional Holiday,Newfoundland and Labrador
canada,Wednesday,Jun 24,The National Holiday of Quebec,Regional Holiday,Quebec
canada,Wednesday,Jul 01,Canada Day,Statutory Holiday,National Day
canada,Thursday,Jul 09,Nunavut Day,Regional Holiday,Nunavut
canada,Monday,Jul 13,Orangeman's Day,Government Holiday,Newfoundland and Labrador
canada,Monday,Aug 03,Heritage Day,Regional Holiday,Optional general holiday
canada,Monday,Aug 03,Civic Day,Regional Holiday,First Monday in August. not Statutory holiday
canada,Monday,Aug 03,Civic Holiday,Regional Holiday,Ontario
canada,Monday,Aug 03,British Columbia Day,Regional Holiday,First Monday in August
canada,Monday,Aug 17,Discovery Day,Regional Holiday,Third Monday in August. Yukon
canada,Monday,Sep 07,Labour Day,Statutory Holiday,First Monday in September
canada,Wednesday,Sep 30,National Day for Truth and Reconciliation,Regional Holiday,Federal; regional
canada,Wednesday,Sep 30,National Day for Truth and Reconciliation,Regional Holiday,Federal statutory holiday
canada,Wednesday,Sep 30,National Day for Truth and Reconciliation,Government Holiday,Federal; regional
canada,Monday,Oct 12,Thanksgiving,Regional Holiday,2nd Monday in October
canada,Monday,Oct 12,Thanksgiving,Government Holiday,2nd Monday in October
canada,Monday,Oct 12,Thanksgiving,Not A Public Holiday,2nd Monday in October
canada,Wednesday,Nov 11,Canadian Remembrance Day,Not A Public Holiday,Regulated holiday in Nova Scotia
canada,Wednesday,Nov 11,Remembrance Day,Regional Holiday,Statutory holiday in most provinces and territories
canada,Friday,Dec 25,Christmas Day,Statutory Holiday,
canada,Saturday,Dec 26,Boxing Day,Regional Holiday,Statutory in Ontario and federal jurisdictions. Optional in Alberta
canada,Saturday,Dec 26,Boxing Day,Regional Holiday,
canada,Saturday,Dec 26,Boxing Day,Government Holiday,Newfoundland and Labrador
canada,Thursday,Dec 31,New Year's Eve,Government Holiday,Quebec Govt. Only
cape-verde,Thursday,Jan 01,New Year's Day,National Holiday,
cape-verde,Tuesday,Jan 13,Democracy Day,National Holiday,
cape-verde,Tuesday,Jan 20,Heroes' Day,National Holiday,
cape-verde,Friday,Apr 03,Good Friday,National Holiday,
cape-verde,Friday,May 01,Labour Day,National Holiday,International Workers' Day
